Country/Region,Province/State,County/District,UniqueLocation,DataType,Date,Deaths,Deaths_Cumulative,ConfirmedCases,Cases_Cumulative
Morocco,n/a,n/a,Morocco,Deaths,22-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,23-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,24-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,25-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,26-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,27-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,28-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,29-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,30-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,31-Jan,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,1-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,2-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,3-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,4-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,5-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,6-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,7-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,8-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,9-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,10-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,11-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,12-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,13-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,14-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,15-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,16-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,17-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,18-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,19-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,20-Feb,0,0,0,0
Morocco,n/a,n/a,Morocco,Deaths,21-Feb,0,0,0,0
