Date,Holiday,Country/Region
1/1/20,New Year's Day,Nigeria
2/14/20,Valentine's Day,Nigeria
3/8/20,Women's Day,Nigeria
3/20/20,March Equinox,Nigeria
3/22/20,Mothering Sunday,Nigeria
4/10/20,Good Friday,Nigeria
4/11/20,Holy Saturday,Nigeria
4/12/20,Easter Sunday,Nigeria
4/13/20,Easter Monday,Nigeria
5/1/20,Workers' Day,Nigeria
5/24/20,Id el Fitr,Nigeria
5/25/20,Id el Fitr holiday,Nigeria
5/26/20,Id el Fitr holiday,Nigeria
5/27/20,Children's Day,Nigeria
6/12/20,Democracy Day,Nigeria
6/20/20,June Solstice,Nigeria
6/21/20,Father's Day,Nigeria
7/31/20,Id el Kabir,Nigeria
8/1/20,Id el Kabir additional holiday,Nigeria
8/20/20,Al-Hijra,Nigeria
9/22/20,September Equinox,Nigeria
10/1/20,National Day,Nigeria
10/29/20,Id el Maulud,Nigeria
12/21/20,December Solstice,Nigeria
12/22/20,Sambisa Memorial Day,Nigeria
12/24/20,Christmas Eve,Nigeria
12/25/20,Christmas Day,Nigeria
12/26/20,Boxing Day,Nigeria
12/31/20,New Year's Eve,Nigeria
1/1/20,New Year's Day,Nigeria
2/14/20,Valentine's Day,Nigeria
3/8/20,Women's Day,Nigeria
3/14/20,Mothering Sunday,Nigeria
3/20/20,March Equinox,Nigeria
4/2/20,Good Friday,Nigeria
4/3/20,Holy Saturday,Nigeria
4/4/20,Easter Sunday,Nigeria
4/5/20,Easter Monday,Nigeria
5/1/20,Workers' Day,Nigeria
5/13/20,Id el Fitr,Nigeria
5/14/20,Id el Fitr holiday,Nigeria
5/27/20,Children's Day,Nigeria
6/12/20,Democracy Day,Nigeria
6/20/20,Father's Day,Nigeria
6/21/20,June Solstice,Nigeria
7/20/20,Id el Kabir,Nigeria
7/21/20,Id el Kabir additional holiday,Nigeria
8/10/20,Al-Hijra,Nigeria
9/22/20,September Equinox,Nigeria
10/1/20,National Day,Nigeria
10/19/20,Id el Maulud,Nigeria
12/21/20,December Solstice,Nigeria
12/22/20,Sambisa Memorial Day,Nigeria
12/24/20,Christmas Eve,Nigeria
12/25/20,Christmas Day,Nigeria
12/26/20,Boxing Day,Nigeria
12/31/20,New Year's Eve,Nigeria
1/1/20,New Year's Day,Morocco
1/11/20,Anniversary of the Independence Manifesto,Morocco
3/20/20,March Equinox,Morocco
4/19/20,Daylight Saving Time ends,Morocco
5/1/20,Labour Day/May Day,Morocco
5/24/20,Eid al-Fitr,Morocco
5/25/20,Eid al-Fitr holiday,Morocco
5/31/20,Daylight Saving Time starts,Morocco
6/20/20,June Solstice,Morocco
7/30/20,Feast of the Throne,Morocco
7/31/20,Eid al-Adha,Morocco
8/1/20,Eid al-Adha holiday,Morocco
8/14/20,Anniversary of the Recovery Oued Ed-Dahab,Morocco
8/20/20,Anniversary of the Revolution of the King and the People,Morocco
8/20/20,Hijra New Year,Morocco
8/21/20,Youth Day,Morocco
9/22/20,September Equinox,Morocco
10/29/20,The Prophet Muhammad's Birthday,Morocco
11/6/20,Anniversary of the Green March,Morocco
11/18/20,Independence Day,Morocco
12/21/20,December Solstice,Morocco
1/11/20,Independence Manifesto Day,Morocco
5/1/20,Labour Day,Morocco
5/13/20,Eid al-Fitr,Morocco
7/20/20,Eid al-Adha,Morocco
7/30/20,Throne Day,Morocco
8/10/20,Islamic New Year,Morocco
8/14/20,Oued Ed-Dahab Day,Morocco
8/20/20,Revolution Day,Morocco
8/21/20,Youth Day,Morocco
10/19/20,Prophet Muhammad's Birthday,Morocco
11/6/20,Green March Day,Morocco
11/18/20,Independence Day,Morocco
1/1/20,New Year's Day,South Africa
3/21/20,Human Rights Day,South Africa
4/10/20,Good Friday,South Africa
4/13/20,Family Day,South Africa
4/27/20,Freedom Day,South Africa
5/1/20,Workers' Day,South Africa
6/16/20,Youth Day,South Africa
8/9/20,National Women's Day,South Africa
8/10/20,National Women's Day Holiday,South Africa
9/24/20,Heritage Day,South Africa
12/16/20,Day of Reconciliation,South Africa
12/25/20,Christmas Day,South Africa
12/26/20,Day of Goodwill,South Africa
1/1/20,New Year's Day,South Africa
3/21/20,Human Rights Day,South Africa
4/2/20,Good Friday,South Africa
4/5/20,Family Day,South Africa
4/27/20,Freedom Day,South Africa
5/1/20,Workers' Day,South Africa
6/16/20,Youth Day,South Africa
