Date,Country/Region,Holiday
2020-01-01,Albania,Albania Holiday #1
2020-01-02,Albania,Albania Holiday #2
2020-03-14,Albania,Albania Holiday #3
2020-03-16,Albania,Albania Holiday #4
2020-03-22,Albania,Albania Holiday #5
2020-04-12,Albania,Albania Holiday #6
2020-04-19,Albania,Albania Holiday #7
2020-05-01,Albania,Albania Holiday #8
2020-05-24,Albania,Albania Holiday #9
2020-07-31,Albania,Albania Holiday #10
2020-09-05,Albania,Albania Holiday #11
2020-11-28,Albania,Albania Holiday #12
2020-11-29,Albania,Albania Holiday #13
2020-11-30,Albania,Albania Holiday #14
2020-12-08,Albania,Albania Holiday #15
2020-01-01,Angola,Angola Holiday #1
2020-02-04,Angola,Angola Holiday #2
2020-02-25,Angola,Angola Holiday #3
2020-03-09,Angola,Angola Holiday #4
2020-04-04,Angola,Angola Holiday #5
2020-04-10,Angola,Angola Holiday #6
2020-04-12,Angola,Angola Holiday #7
2020-05-01,Angola,Angola Holiday #8
2020-09-17,Angola,Angola Holiday #9
2020-11-02,Angola,Angola Holiday #10
2020-11-11,Angola,Angola Holiday #11
2020-12-25,Angola,Angola Holiday #12
2020-01-01,Benin,Benin Holiday #1
2020-01-10,Benin,Benin Holiday #2
2020-04-13,Benin,Benin Holiday #3
2020-05-01,Benin,Benin Holiday #4
2020-05-21,Benin,Benin Holiday #5
2020-05-24,Benin,Benin Holiday #6
2020-06-01,Benin,Benin Holiday #7
2020-07-31,Benin,Benin Holiday #8
2020-08-01,Benin,Benin Holiday #9
2020-08-15,Benin,Benin Holiday #10
2020-10-29,Benin,Benin Holiday #11
2020-11-01,Benin,Benin Holiday #12
2020-12-25,Benin,Benin Holiday #13
2020-01-01,Botswana,Botswana Holiday #1
2020-01-02,Botswana,Botswana Holiday #2
2020-04-10,Botswana,Botswana Holiday #3
2020-04-11,Botswana,Botswana Holiday #4
2020-04-13,Botswana,Botswana Holiday #5
2020-05-01,Botswana,Botswana Holiday #6
2020-05-21,Botswana,Botswana Holiday #7
2020-07-01,Botswana,Botswana Holiday #8
2020-07-20,Botswana,Botswana Holiday #9
2020-07-21,Botswana,Botswana Holiday #10
2020-09-30,Botswana,Botswana Holiday #11
2020-10-01,Botswana,Botswana Holiday #12
2020-12-25,Botswana,Botswana Holiday #13
2020-12-26,Botswana,Botswana Holiday #14
2020-01-01,Burkina Faso,Burkina Faso Holiday #1
2020-01-03,Burkina Faso,Burkina Faso Holiday #2
2020-03-08,Burkina Faso,Burkina Faso Holiday #3
2020-04-12,Burkina Faso,Burkina Faso Holiday #4
2020-04-13,Burkina Faso,Burkina Faso Holiday #5
2020-05-01,Burkina Faso,Burkina Faso Holiday #6
2020-05-21,Burkina Faso,Burkina Faso Holiday #7
2020-05-24,Burkina Faso,Burkina Faso Holiday #8
2020-07-31,Burkina Faso,Burkina Faso Holiday #9
2020-08-05,Burkina Faso,Burkina Faso Holiday #10
2020-08-15,Burkina Faso,Burkina Faso Holiday #11
2020-11-01,Burkina Faso,Burkina Faso Holiday #12
2020-12-11,Burkina Faso,Burkina Faso Holiday #13
2020-12-25,Burkina Faso,Burkina Faso Holiday #14
2020-01-01,Burundi,Burundi Holiday #1
2020-02-05,Burundi,Burundi Holiday #2
2020-04-06,Burundi,Burundi Holiday #3
2020-05-01,Burundi,Burundi Holiday #4
2020-05-20,Burundi,Burundi Holiday #5
2020-05-21,Burundi,Burundi Holiday #6
2020-06-26,Burundi,Burundi Holiday #7
2020-07-01,Burundi,Burundi Holiday #8
2020-07-31,Burundi,Burundi Holiday #9
2020-08-15,Burundi,Burundi Holiday #10
