Date,Event
2017-02-20,Presidents Day
2017-05-29,Memorial Day
2017-07-04,July 4th
2017-09-04,Labor Day
2017-10-09,Columbus Day
2017-11-10,Veterans Day
2017-11-23,Thanksgiving
2017-11-24,Black Friday
2017-11-27,Cyber Monday
2017-12-25,Christmas
2018-01-01,New Years Day
2018-01-15,Martin Luther King Jr. Day
2018-02-19,Presidents Day
2018-05-28,Memorial Day
2018-07-04,July 4th
2018-09-03,Labor Day
2018-10-08,Columbus Day
2018-11-12,Veterans Day
2018-11-22,Thanksgiving
2018-11-23,Black Friday
2018-11-26,Cyber Monday
2018-12-25,Christmas
2019-01-01,New Years Day
2019-01-21,Martin Luther King Jr. Day
2019-02-18,Presidents Day
2019-05-27,Memorial Day
2019-07-04,July 4th
2019-09-02,Labor Day
2019-10-14,Columbus Day
2019-11-11,Veterans Day
2019-11-28,Thanksgiving
2019-11-29,Black Friday
2019-12-02,Cyber Monday
2019-12-25,Christmas
2020-01-01,New Years Day
2020-01-20,Martin Luther King Jr. Day
2020-02-17,Presidents Day
