,invoice,date,day,time,item_name,item_size,transaction,category,store_category,package_id,campaign,qty,unit_price,sale_amount
1,23137,2019-05-21,Tue,14:35:00,Reeses pieces,Fun Size,Good,Retail,Type_A,A000006690,discount_type_1,0.28,3.7,1.04
2,23136,2019-05-21,Tue,14:28:00,Reeses pieces,Full Size,Good,Retail,Type_A,A000006815,discount_type_2,0.47,2.33,1.1
3,23135,2019-05-21,Tue,14:24:00,Snickers Crisper,Full Size,Good,Retail,Type_A,A000006608,discount_type_1,1.66,2.07,3.44
4,23134,2019-05-21,Tue,14:21:00,Mr Good Bar,Full Size,Good,Retail,Type_A,A000006877,discount_type_3,1.66,1.29,2.14
5,23134,2019-05-21,Tue,14:21:00,Skittles wildberry,Full Size,Good,Retail,Type_A,A000006799,discount_type_3,1.66,1.29,2.14
6,23134,2019-05-21,Tue,14:21:00,Swedish Fish,Full Size,Good,Retail,Type_A,A000006880,discount_type_3,1.66,1.29,2.14
7,23134,2019-05-21,Tue,14:21:00,Nerds,Full Size,Good,Retail,Type_A,A000006879,discount_type_3,1.67,1.29,2.15
8,23133,2019-05-21,Tue,14:15:00,Reeses pieces,Fun Size,Good,Retail,Type_A,A000006832,discount_type_1,1.63,1.06,1.73
9,23131,2019-05-21,Tue,14:04:00,Reeses Miniatures,Full Size,Good,Retail,Type_A,A000006697,discount_type_2,6.56,2.45,16.07
10,23129,2019-05-21,Tue,13:57:00,Haribo Sour Bears,Fun Size,Good,Retail,Type_A,A000006833,discount_type_1,1.63,1.06,1.73
11,23128,2019-05-21,Tue,13:55:00,Reeses pieces,Fun Size,Good,Retail,Type_A,A000006832,discount_type_1,1.63,1.06,1.73
12,23127,2019-05-21,Tue,13:54:00,Nestle Butterfinger,Fun Size,Good,Retail,Type_A,A000006823,discount_type_1,0.28,3.7,1.04
13,23127,2019-05-21,Tue,13:54:00,Reeses Miniatures,Fun Size,Good,Retail,Type_A,A000006816,discount_type_1,0.28,3.7,1.04
14,23127,2019-05-21,Tue,13:54:00,Reeses stuffed with pieces,Fun Size,Good,Retail,Type_A,A000006821,discount_type_1,0.28,3.7,1.04
15,23126,2019-05-21,Tue,13:51:00,Reeses Miniatures,Fun Size,Good,Retail,Type_A,A000006816,discount_type_1,0.28,3.7,1.04
