,item_name,date,package_id_min,package_id_max,package_id_unique,campaign_min,campaign_max,campaign_unique,qty_min,qty_mean,qty_max,qty_stdev,qty_unique,qty_sum,unit_price_min,unit_price_mean,unit_price_max,unit_price_stdev,unit_price_unique,unit_price_sum,sale_amount_min,sale_amount_mean,sale_amount_max,sale_amount_stdev,sale_amount_unique,sale_amount_sum,day,store_category,category,transaction,aggregated_total_count,metro_area,county_1,total_market_sales
467,3 Musketeers,2017-02-03,1700000005,1700000005,1.0,discount_type_1,discount_type_1,1.0,0.56,0.56,0.56,,1.0,0.56,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,Fri,Type_B,Retail,Canceled,1.0,,,
3006,Hersheys Krackel,2017-02-03,1700000004,1700000004,1.0,discount_type_1,discount_type_1,1.0,0.56,0.56,0.56,,1.0,0.56,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,Fri,Type_B,Retail,Canceled,1.0,,,
7865,Milky Way Midnight,2017-02-03,1700000007,1700000007,1.0,discount_type_1,discount_type_1,1.0,0.56,0.56,0.56,,1.0,0.56,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,Fri,Type_B,Retail,Canceled,1.0,,,
12542,Reeses Miniatures,2017-02-03,1700000008,1700000008,1.0,discount_type_1,discount_type_1,1.0,0.56,0.56,0.56,,1.0,0.56,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,Fri,Type_B,Retail,Canceled,1.0,,,
13380,Reeses Peanut Butter cup,2017-02-03,1700000006,1700000006,1.0,discount_type_1,discount_type_1,1.0,0.56,0.56,0.56,,1.0,0.56,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,Fri,Type_B,Retail,Canceled,1.0,,,
14218,Reeses pieces,2017-02-03,1700000009,1700000009,1.0,discount_type_1,discount_type_1,1.0,0.56,0.56,0.56,,1.0,0.56,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,Fri,Type_B,Retail,Canceled,1.0,,,
17058,Snickers,2017-02-03,1700000002,1700000002,1.0,discount_type_1,discount_type_1,1.0,0.56,0.56,0.56,,1.0,0.56,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,Fri,Type_B,Retail,Canceled,1.0,,,
17896,Snickers Crisper,2017-02-03,1700000003,1700000003,1.0,discount_type_1,discount_type_1,1.0,0.56,0.56,0.56,,1.0,0.56,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,Fri,Type_B,Retail,Canceled,1.0,,,
468,3 Musketeers,2017-02-04,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
3007,Hersheys Krackel,2017-02-04,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
7866,Milky Way Midnight,2017-02-04,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
12543,Reeses Miniatures,2017-02-04,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
