,invoice,package_id,qty,unit_price,sale_amount,item_name,date,day,time,transaction,category,store_category,campaign,metro_area,county_1,total_market_sales
0,23137,A000006690,0.28,3.7,1.04,Reeses pieces,2019-05-21,Tue,14:35:00,Good,Retail,Type_A,discount_type_1,,,
1,23136,A000006815,0.47,2.33,1.1,Reeses pieces,2019-05-21,Tue,14:28:00,Good,Retail,Type_A,discount_type_2,,,
2,23135,A000006608,1.66,2.07,3.44,Snickers Crisper,2019-05-21,Tue,14:24:00,Good,Retail,Type_A,discount_type_1,,,
3,23134,A000006877,1.66,1.29,2.14,Mr Good Bar,2019-05-21,Tue,14:21:00,Good,Retail,Type_A,discount_type_3,,,
7,23134,A000006799,1.66,1.29,2.14,Skittles wildberry,2019-05-21,Tue,14:21:00,Good,Retail,Type_A,discount_type_3,,,
11,23134,A000006880,1.66,1.29,2.14,Swedish Fish,2019-05-21,Tue,14:21:00,Good,Retail,Type_A,discount_type_3,,,
15,23134,A000006879,1.67,1.29,2.15,Nerds,2019-05-21,Tue,14:21:00,Good,Retail,Type_A,discount_type_3,,,
19,23133,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,14:15:00,Good,Retail,Type_A,discount_type_1,,,
20,23131,A000006697,6.56,2.45,16.07,Reeses Miniatures,2019-05-21,Tue,14:04:00,Good,Retail,Type_A,discount_type_2,,,
21,23129,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,13:57:00,Good,Retail,Type_A,discount_type_1,,,
22,23128,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,13:55:00,Good,Retail,Type_A,discount_type_1,,,
23,23127,A000006823,0.28,3.7,1.04,Nestle Butterfinger,2019-05-21,Tue,13:54:00,Good,Retail,Type_A,discount_type_1,,,
26,23127,A000006816,0.28,3.7,1.04,Reeses Miniatures,2019-05-21,Tue,13:54:00,Good,Retail,Type_A,discount_type_1,,,
29,23127,A000006821,0.28,3.7,1.04,Reeses stuffed with pieces,2019-05-21,Tue,13:54:00,Good,Retail,Type_A,discount_type_1,,,
32,23126,A000006816,0.28,3.7,1.04,Reeses Miniatures,2019-05-21,Tue,13:51:00,Good,Retail,Type_A,discount_type_1,,,
34,23126,A000006697,0.94,3.07,2.89,Reeses Miniatures,2019-05-21,Tue,13:51:00,Good,Retail,Type_A,discount_type_1,,,
36,23125,A000006609,0.96,2.76,2.65,Nestle Butterfinger,2019-05-21,Tue,13:44:00,Good,Retail,Type_A,discount_type_2,,,
37,23124,A000006832,3.26,1.06,3.46,Reeses pieces,2019-05-21,Tue,13:40:00,Good,Retail,Type_A,discount_type_4,,,
38,23123,A000006843,1.63,0.53,0.86,M&Ms,2019-05-21,Tue,13:40:00,Good,Retail,Type_A,discount_type_1,,,
39,23121,A000006674,1.67,2.69,4.49,Haribo Sour Bears,2019-05-21,Tue,13:33:00,Good,Retail,Type_A,discount_type_2,,,
40,23119,A000006833,3.26,1.06,3.46,Haribo Sour Bears,2019-05-21,Tue,13:30:00,Good,Retail,Type_A,discount_type_5,,,
41,23118,A000006727,6.6,3.02,19.93,Air Heads,2019-05-21,Tue,13:26:00,Good,Retail,Type_A,discount_type_2,,,
43,23118,A000006880,4.93,4.42,21.79,Swedish Fish,2019-05-21,Tue,13:26:00,Good,Retail,Type_A,discount_type_2,,,
45,23117,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,12:45:00,Good,Retail,Type_A,discount_type_1,,,
46,23117,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,12:45:00,Good,Retail,Type_A,discount_type_5,,,
47,23117,A000006815,3.3,1.64,5.41,Reeses pieces,2019-05-21,Tue,12:45:00,Good,Retail,Type_A,discount_type_1,,,
48,23117,A000006815,3.3,1.64,5.41,Reeses pieces,2019-05-21,Tue,12:45:00,Good,Retail,Type_A,discount_type_5,,,
49,23116,A000006707,1.67,1.29,2.15,Milk Duds,2019-05-21,Tue,12:24:00,Good,Retail,Type_A,discount_type_6,,,
53,23116,A000006700,1.67,1.29,2.15,Hersheys Kisses,2019-05-21,Tue,12:24:00,Good,Retail,Type_A,discount_type_6,,,
57,23116,A000006880,1.67,1.29,2.15,Swedish Fish,2019-05-21,Tue,12:24:00,Good,Retail,Type_A,discount_type_6,,,
61,23116,9000001037,1.65,1.29,2.13,Lifesavers big ring gummies,2019-05-21,Tue,12:24:00,Good,Retail,Type_A,discount_type_6,,,
65,23115,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,12:07:00,Good,Retail,Type_A,discount_type_1,,,
66,23113,A000006815,1.64,2.1,3.44,Reeses pieces,2019-05-21,Tue,11:37:00,Good,Retail,Type_A,discount_type_1,,,
67,23112,A000006843,1.63,1.06,1.73,M&Ms,2019-05-21,Tue,11:29:00,Good,Retail,Type_A,discount_type_4,,,
70,23112,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,11:29:00,Good,Retail,Type_A,discount_type_4,,,
76,23111,A000006878,1.67,5.06,8.45,Nestle Crunch,2019-05-21,Tue,11:26:00,Good,Retail,Type_A,discount_type_1,,,
77,23110,A000006801,1.63,1.27,2.07,Snickers Crisper,2019-05-21,Tue,11:24:00,Good,Retail,Type_A,discount_type_1,,,
81,23109,A000006704,0.5,2.42,1.21,Snickers,2019-05-21,Tue,11:22:00,Good,Retail,Type_A,discount_type_1,,,
82,23108,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,10:53:00,Good,Retail,Type_A,discount_type_1,,,
83,23107,A000006801,1.63,1.27,2.07,Snickers Crisper,2019-05-21,Tue,09:59:00,Good,Retail,Type_A,discount_type_1,,,
84,23106,A000006701,1.67,2.68,4.48,Skittles original,2019-05-21,Tue,09:49:00,Good,Retail,Type_A,discount_type_1,,,
85,23105,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,09:24:00,Good,Retail,Type_A,discount_type_1,,,
101,23103,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,09:01:00,Good,Retail,Type_A,discount_type_1,,,
105,23102,A000006815,6.53,1.4,9.14,Reeses pieces,2019-05-21,Tue,08:43:00,Good,Retail,Type_A,discount_type_7,,,
107,23102,A000006398,6.54,1.4,9.16,Peanut M&Ms,2019-05-21,Tue,08:43:00,Good,Retail,Type_A,discount_type_7,,,
109,23101,A000006679,1.63,1.06,1.73,Reeses Miniatures,2019-05-21,Tue,08:36:00,Good,Retail,Type_A,discount_type_1,,,
112,23101,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,08:36:00,Good,Retail,Type_A,discount_type_1,,,
115,23101,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-21,Tue,08:36:00,Good,Retail,Type_A,discount_type_1,,,
118,23100,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-21,Tue,08:35:00,Good,Retail,Type_A,discount_type_1,,,
122,23099,A000006833,3.26,1.06,3.46,Haribo Sour Bears,2019-05-21,Tue,08:34:00,Good,Retail,Type_A,discount_type_1,,,
125,23099,A000006832,6.51,1.06,6.9,Reeses pieces,2019-05-21,Tue,08:34:00,Good,Retail,Type_A,discount_type_1,,,
128,23099,A000006843,3.26,1.06,3.46,M&Ms,2019-05-21,Tue,08:34:00,Good,Retail,Type_A,discount_type_1,,,
131,23098,A000006815,6.53,1.4,9.14,Reeses pieces,2019-05-21,Tue,08:33:00,Good,Retail,Type_A,discount_type_8,,,
133,23098,A000006704,6.52,1.4,9.13,Snickers,2019-05-21,Tue,08:33:00,Good,Retail,Type_A,discount_type_8,,,
135,23097,A000006838,1.63,0.53,0.86,Starburst,2019-05-20,Mon,21:38:00,Good,Retail,Type_A,discount_type_1,,,
147,23097,A000006828,1.63,0.53,0.86,100 Grand,2019-05-20,Mon,21:38:00,Good,Retail,Type_A,discount_type_1,,,
151,23096,A000006816,0.28,3.33,0.93,Reeses Miniatures,2019-05-20,Mon,21:29:00,Good,Retail,Type_A,discount_type_2,,,
152,23094,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,20:40:00,Good,Retail,Type_A,discount_type_1,,,
153,23093,A000006689,0.28,3.33,0.93,Skittles wildberry,2019-05-20,Mon,20:32:00,Good,Retail,Type_A,discount_type_2,,,
154,23092,A000006821,0.28,3.7,1.04,Reeses stuffed with pieces,2019-05-20,Mon,20:29:00,Good,Retail,Type_A,discount_type_1,,,
156,23092,A000006655,0.28,3.7,1.04,Peanut butter M&Ms,2019-05-20,Mon,20:29:00,Good,Retail,Type_A,discount_type_1,,,
158,23091,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,20:11:00,Good,Retail,Type_A,discount_type_1,,,
161,23091,A000006704,1.64,2.09,3.43,Snickers,2019-05-20,Mon,20:11:00,Good,Retail,Type_A,discount_type_1,,,
164,23091,A000006689,0.28,3.7,1.04,Skittles wildberry,2019-05-20,Mon,20:11:00,Good,Retail,Type_A,discount_type_1,,,
167,23090,A000006690,0.28,3.7,1.04,Reeses pieces,2019-05-20,Mon,20:10:00,Good,Retail,Type_A,discount_type_1,,,
176,23089,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,20:04:00,Good,Retail,Type_A,discount_type_1,,,
177,23088,A000006833,1.63,1.06,1.73,Haribo Sour Bears,2019-05-20,Mon,19:50:00,Good,Retail,Type_A,discount_type_1,,,
180,23088,A000006832,1.63,1.06,1.73,Reeses pieces,2019-05-20,Mon,19:50:00,Good,Retail,Type_A,discount_type_1,,,
183,23088,A000006689,0.28,3.7,1.04,Skittles wildberry,2019-05-20,Mon,19:50:00,Good,Retail,Type_A,discount_type_1,,,
